	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
pNA_s_024um_00191_00227-1	0.010882574	0.31314164	0.05836384	0.31438136	0.1282164	1.8450669e-06	0.021578087	0.027609706	2.065241e-11	0.033831466	0.066938646	0.044006504	6.711415e-05	0.007115029	7.3886106e-11
pNA_s_024um_00003_00084-1	2.326969e-05	0.16960895	0.119386286	0.34981585	0.22924656	0.0004283407	7.110149e-14	0.039636783	1.1703051e-10	2.1325732e-13	9.4106086e-05	0.0015807446	0.019918026	0.005076953	6.9087993e-09
pNA_s_024um_00097_00055-1	0.3806765	0.0027473953	0.05748607	0.0003224663	0.14832748	0.2442504	3.7600994e-12	5.0435435e-17	7.8287924e-13	1.5122983e-13	2.4051933e-06	0.033661492	0.07568167	0.00022530297	1.6465827e-11
pNA_s_024um_00038_00005-1	0.010515596	0.07079202	0.41206282	0.04561881	0.12780789	0.11704841	1.378569e-17	2.8569643e-21	2.6459764e-17	1.6843878e-06	0.0012069276	0.058555212	0.00018554654	5.7403943e-12	8.3418217e-13
pNA_s_024um_00159_00064-1	0.016826443	0.18291508	9.3121325e-06	0.4694161	0.070466414	8.45779e-05	0.026609527	5.997615e-18	2.137532e-13	3.1027377e-12	0.0037190234	0.16401392	0.073115245	4.081888e-07	1.6047916e-13
pNA_s_024um_00010_00190-1	0.06747763	0.84145916	0.008406931	0.002548754	1.4059162e-05	2.388687e-10	1.3678584e-14	0.00034525307	3.3179144e-17	3.3419906e-10	0.18298155	1.4435951e-05	0.15193869	4.39924e-12	9.144806e-07
pNA_s_024um_00116_00067-1	0.010926779	0.10104922	0.08734529	0.3597751	0.11286296	0.01899184	1.0064815e-10	7.8515415e-12	0.02119993	0.06720384	0.19529597	0.010638768	4.5078988e-07	5.1087152e-08	0.01725514
pNA_s_024um_00140_00106-1	6.133208e-25	0.25519332	0.3282661	0.14160155	7.940875e-05	0.04339666	2.9035888e-10	1.5627e-26	3.6836505e-22	0.03100006	6.0407457e-09	8.954525e-26	6.403706e-05	2.075415e-34	1.083695e-30
pNA_s_024um_00243_00109-1	0.38797975	2.1914123e-13	0.17906742	3.278843e-10	0.00010820945	0.1583136	0.00020565736	4.2372017e-09	3.0412996e-13	1.0508178e-13	0.00027853862	0.034108274	2.851057e-10	0.13330236	3.8331752e-08
pNA_s_024um_00265_00124-1	0.7485929	1.8636903e-10	1.005808e-11	8.0922213e-10	3.3400656e-13	6.095604e-08	2.011746e-15	0.046215065	6.5153336e-09	2.2426022e-14	0.110851124	0.025125107	1.2834296e-09	8.204536e-07	8.4597215e-20
pNA_s_024um_00004_00230-1	6.7355043e-18	0.35927987	0.3183828	4.071869e-05	0.026238974	6.2504495e-11	5.596498e-21	0.031976353	1.0745491e-08	0.23839082	2.5076135e-08	0.24023384	2.8102336e-13	5.6798817e-06	3.5124506e-15
pNA_s_024um_00207_00135-1	0.0675526	0.073363416	0.26198995	0.011661763	0.104344696	0.15134968	2.7850565e-08	1.2172069e-05	2.4933145e-13	0.051566456	0.10420811	0.019192595	0.0067182924	0.0028569559	2.9783118e-06
pNA_s_024um_00118_00277-1	0.0034426958	0.13924795	0.24403645	0.3220646	0.19851257	0.0040886635	0.019667689	0.009505108	0.025328329	0.030111557	0.0015254389	0.006339833	3.0592782e-09	0.015052841	1.3625942e-07
pNA_s_024um_00081_00013-1	0.002863078	7.427326e-05	0.23590362	0.38935864	1.5437736e-05	1.0341706e-06	0.03728384	0.008372306	7.508556e-20	5.870231e-11	7.085228e-09	0.10509672	0.061102208	1.3704104e-15	3.9418005e-10
pNA_s_024um_00060_00277-1	1.02329413e-13	0.2524029	0.0005642913	0.5466181	7.289002e-10	4.1059505e-14	5.9904387e-18	0.0982847	4.0043076e-09	0.06418129	0.000100263846	2.4703985e-07	0.042740878	0.019123573	1.4776198e-10
pNA_s_024um_00258_00057-1	0.5812051	9.504032e-07	0.14880888	0.00022213698	2.423438e-08	0.17710185	3.6223685e-10	0.030394398	6.6563854e-14	8.166417e-07	0.052320413	3.83158e-11	7.331265e-05	0.041060515	2.0279264e-11
pNA_s_024um_00185_00185-1	0.10254175	0.3562416	0.18267049	0.045624092	7.540336e-12	0.0011035037	1.3366504e-05	5.072859e-12	1.2191728e-15	0.05240041	7.919449e-12	0.0050225183	0.10242317	1.445499e-06	0.022993864
